doc_id,category,title,content,source,url,last_updated
KB009,一卡通,校园卡挂失与补办,校园卡遗失后应尽快在校园卡服务平台或自助终端办理挂失，避免余额被盗刷。补办需携带身份证或学生证到校园卡服务中心办理，补卡后原卡自动失效，余额通常在1个工作日内转入新卡。,校园卡服务指南,https://example.edu/card/loss,2026-04-01
KB010,一卡通,校园卡充值方式,校园卡支持手机端线上充值、自助充值机充值和服务窗口充值。线上充值后若余额未即时到账，可在食堂或自助终端进行补写卡操作。充值记录可在校园卡服务平台查询。,校园卡服务指南,https://example.edu/card/topup,2026-04-01
KB011,一卡通,校园卡消费限额,为保障账户安全，校园卡默认单日消费限额为100元，超过限额需要输入消费密码。学生可在校园卡服务平台修改限额和消费密码。忘记密码时需本人持有效证件到服务中心重置。,校园卡服务指南,https://example.edu/card/limit,2026-04-01
KB006,图书馆,图书馆开放时间,图书馆阅览区工作日开放时间为8:00至22:00，周末开放时间为9:00至21:00。法定节假日和寒暑假开放安排以图书馆官网通知为准。闭馆前30分钟停止入馆。,图书馆读者手册,https://example.edu/library/hours,2026-04-01
KB007,图书馆,图书借阅期限与续借,本科生每人最多可借阅10册图书，普通图书借期30天，可续借1次，续借期为30天。若图书已被其他读者预约或存在超期未还记录，将无法续借。超期图书需先归还后再办理新的借阅。,图书馆读者手册,https://example.edu/library/borrow,2026-04-01
KB008,图书馆,电子资源校外访问,校外访问图书馆数据库时，学生可使用学校统一身份认证登录 VPN 或图书馆远程访问系统。登录后可访问电子期刊、学位论文、电子书等资源。账号异常时可联系图书馆信息服务部。,图书馆读者手册,https://example.edu/library/remote,2026-04-01
KB018,奖助评优,奖学金申请条件,综合奖学金一般根据学生上一学年课程成绩、综合测评、思想品德和违纪情况评定。申请人原则上不得有考试作弊、严重违纪或必修课不及格记录。具体名额和细则以学院年度通知为准。,学生资助与评优指南,https://example.edu/student/scholarship,2026-04-01
KB019,奖助评优,助学金申请材料,申请国家助学金通常需提交家庭经济困难认定申请表、个人承诺书和相关证明材料。学院会结合民主评议、系统信息和家庭情况进行审核。通过审核后资助款项按学校财务安排发放。,学生资助与评优指南,https://example.edu/student/grant,2026-04-01
KB020,奖助评优,勤工助学岗位申请,学生可在学生资助管理系统查看校内勤工助学岗位，提交岗位申请并参加用工部门面试。录用后需按岗位要求完成工作记录，劳酬一般按月发放至学生银行卡。,学生资助与评优指南,https://example.edu/student/workstudy,2026-04-01
KB027,学籍管理,学生证补办,学生证遗失、损坏或信息变更时，可向学院提交补办申请。申请材料通常包括补办申请表、近期证件照和身份证明。学院审核后报教务处办理，新证制作完成后由学院通知领取。,学籍管理指南,https://example.edu/status/student-card,2026-04-01
KB028,学籍管理,休学申请流程,学生因病、创业、参军或其他特殊原因申请休学，应提交休学申请表及相关证明材料，经家长知情、学院审核、教务处审批后办理。休学期满需在规定时间内申请复学。,学籍管理指南,https://example.edu/status/suspension,2026-04-01
KB029,学籍管理,转专业申请,学校通常在每学年春季学期组织转专业申请。学生需满足成绩、课程修读和学院接收条件，提交申请表并参加接收学院考核。转专业结果以教务处公示为准。,学籍管理指南,https://example.edu/status/major,2026-04-01
KB012,宿舍后勤,宿舍报修流程,宿舍水电、门锁、空调、家具等设施损坏时，可通过后勤服务平台提交报修单，填写宿舍楼栋、房间号、故障描述和联系方式。紧急故障可拨打后勤值班电话。维修完成后学生可对服务进行评价。,后勤服务手册,https://example.edu/logistics/repair,2026-04-01
KB013,宿舍后勤,宿舍门禁时间,学生宿舍门禁时间通常为23:00至次日6:00。晚归学生需在宿管处登记原因。因实习、竞赛、实验等原因需要长期晚归的，应提前向辅导员和宿舍管理中心备案。,学生宿舍管理规定,https://example.edu/dorm/access,2026-04-01
KB014,宿舍后勤,宿舍调换申请,学生因身体健康、学习生活适应等原因申请调换宿舍，应先与辅导员沟通，填写宿舍调整申请表，经学院和宿舍管理中心审核后办理。未经批准不得私自调换床位或房间。,学生宿舍管理规定,https://example.edu/dorm/change,2026-04-01
KB021,就业双创,就业推荐表办理,毕业生就业推荐表由学院审核学生基本信息、成绩和在校表现后统一办理。学生需确认个人信息无误，并按就业指导中心通知完成线上申请和纸质盖章。推荐表遗失后补办需提交书面说明。,就业指导服务手册,https://example.edu/career/recommend,2026-04-01
KB022,就业双创,实习证明开具,学生因课程实习、生产实习或企业实践需要开具在读证明、实习介绍信时，可向所在学院教学办公室申请。申请时需说明用途、接收单位和实习时间，部分材料需学院盖章后生效。,就业指导服务手册,https://example.edu/career/internship,2026-04-01
KB023,就业双创,创新创业项目申报,学校通常每年组织大学生创新创业训练计划项目申报。学生团队需提交项目申报书、指导教师意见和成员分工。立项后应按阶段提交中期检查和结题材料，项目经费需按财务规定使用。,创新创业学院指南,https://example.edu/innovation/project,2026-04-01
KB001,教务选课,选课时间与补退选,学校通常在每学期第1周开放第一轮选课，第2周开放补退选。学生需登录教务系统，在规定时间内完成课程选择、退课和重修报名。补退选结束后课程名单原则上不再调整，特殊情况需由学院教学秘书审核。,校园教务办事指南,https://example.edu/jw/selection,2026-04-01
KB002,教务选课,课程冲突处理,若两门课程上课时间冲突，系统会自动拦截选课。确需修读的学生应先联系任课教师和所在学院，提交课程冲突修读申请，经学院审核通过后由教务老师手工处理。考试时间冲突需另行申请缓考。,校园教务办事指南,https://example.edu/jw/conflict,2026-04-01
KB003,教务选课,成绩查询与复核,课程成绩发布后，学生可在教务系统成绩查询模块查看成绩。若对成绩有疑问，应在成绩公布后5个工作日内提交成绩复核申请。复核主要检查登分、统分和漏判情况，不重新评阅主观题。,校园教务办事指南,https://example.edu/jw/grade,2026-04-01
KB030,校园活动,教室借用申请,学生组织开展班会、讲座或社团活动需要借用教室时，应通过教室借用系统提交申请，填写活动主题、时间、人数和负责人。申请需经指导老师或学院审核，严禁私自占用教学场所。,校园活动管理指南,https://example.edu/activity/classroom,2026-04-01
KB031,校园活动,社团活动审批,学生社团举办校内活动需提前提交活动审批表，说明活动内容、地点、安全预案和经费来源。涉及校外人员、商业赞助或大型聚集的活动，应按学校规定提高审批层级。,校园活动管理指南,https://example.edu/activity/club,2026-04-01
KB032,校园活动,志愿服务时长认定,学生参加校内外志愿服务后，应在志愿服务平台提交活动记录和证明材料。学院或活动组织方审核通过后，服务时长计入个人记录。虚假申报将影响评优评奖。,校园活动管理指南,https://example.edu/activity/volunteer,2026-04-01
KB015,校园网络,校园网账号开通,新生入学后可使用统一身份认证账号登录校园网自助服务系统，按页面提示开通网络服务。账号通常与学号绑定，初始密码为统一认证密码。若无法登录，可到网络信息中心服务窗口咨询。,网络信息中心服务指南,https://example.edu/net/account,2026-04-01
KB016,校园网络,校园网故障处理,遇到校园网无法连接、认证失败或网速异常时，建议先检查网线、无线信号和账号状态，再重启终端网络连接。若问题仍存在，可通过网络报修系统提交故障单，并附上宿舍号、联系方式和错误截图。,网络信息中心服务指南,https://example.edu/net/repair,2026-04-01
KB017,校园网络,统一身份认证密码重置,忘记统一身份认证密码时，可通过认证平台的找回密码功能使用绑定手机号或邮箱重置。若绑定信息不可用，需本人携带学生证或身份证到网络信息中心人工重置。,网络信息中心服务指南,https://example.edu/net/password,2026-04-01
KB024,生活服务,校医院就诊流程,学生在校医院就诊需携带校园卡或医保凭证，先挂号再到对应科室就诊。急诊可直接到急诊窗口处理。需要转诊时，应按校医院医生意见办理转诊手续，并保存相关票据。,校园生活服务指南,https://example.edu/life/clinic,2026-04-01
KB025,生活服务,食堂投诉与建议,学生对食堂菜品质量、价格、卫生或服务有意见时，可通过后勤服务平台、食堂意见箱或服务热线反馈。反馈时建议提供食堂名称、窗口、时间和照片，便于后勤部门核查处理。,校园生活服务指南,https://example.edu/life/canteen,2026-04-01
KB026,生活服务,校内快递领取,校内快递驿站一般按短信或取件码通知领取。学生应携带取件码或有效证件，在营业时间内领取快递。大件物品可咨询驿站工作人员。快递滞留超过规定时间可能被退回。,校园生活服务指南,https://example.edu/life/express,2026-04-01
KB004,考试管理,期末考试安排查询,期末考试安排一般在考试周前两周公布。学生可通过教务系统、学院通知群或教学秘书发布的考试安排表查询考试时间、地点和座位。参加考试时需携带学生证或校园卡等有效证件。,考试管理办法摘要,https://example.edu/exam/schedule,2026-04-01
KB005,考试管理,缓考申请流程,学生因病或不可抗力无法参加考试时，应在考试前提交缓考申请，并上传医院证明、交通证明等材料。经任课教师、学院和教务处审核通过后，可参加学校统一组织的缓考。无故缺考按课程考核规定处理。,考试管理办法摘要,https://example.edu/exam/defer,2026-04-01
